"","Initials","Sample_ID","Day_Filtered","Filter_mass_pre_filtering_g","Filter_mass_post_filtering_g","Volume_filtered_mL","Leftover","Notes","Sed_mass_g","Sed_conc_mg_L","Depth","Rep","Filter","Type","Res","Date"
"160","JTM","sed 4m r2 f2 17 jun 19 fcr",2019-06-18,0.1132,0.1181,300,"","",0.0049,16.3333333333333,"4","2","2","sed","fcr",2019-06-17
"161","JTM","sed 8m r1 f1 17 jun 19 fcr ",2019-06-18,0.1148,0.1277,300,"","",0.0129,43,"8","1","1","sed","fcr",2019-06-17
"162","JTM","sed 8m r1 f2 17 jun 19 fcr",2019-06-18,0.1159,0.1277,300,"","",0.0118,39.3333333333333,"8","1","2","sed","fcr",2019-06-17
"163","JTM","sed 8m r2 f1 17 jun 19 fcr",2019-06-18,0.1153,0.1427,200,"","",0.0274,137,"8","2","1","sed","fcr",2019-06-17
"164","JTM","sed 8m r2 f2 17 jun 19 fcr ",2019-06-18,0.1142,0.1225,200,"","",0.0083,41.5,"8","2","2","sed","fcr",2019-06-17
"165","JTM","sed 5m r1 f1 20 jun 19 bvr",2019-06-21,0.1149,0.1184,300,"","",0.0035,11.6666666666667,"5","1","1","sed","bvr",2019-06-20
"166","JTM","sed 5m r1 f2 20 jun 19 bvr ",2019-06-21,0.1143,0.1187,300,"","Little bit of filter paper left on bottom",0.0044,14.6666666666667,"5","1","2","sed","bvr",2019-06-20
"167","JTM","sed 5m r2 f1 20 jun 19 bvr",2019-06-21,0.1132,0.1175,300,"","",0.0043,14.3333333333333,"5","2","1","sed","bvr",2019-06-20
"168","JTM","sed 5m r2 f2 20 jun 19 bvr ",2019-06-21,0.115,0.119,300,"","",0.00399999999999999,13.3333333333333,"5","2","2","sed","bvr",2019-06-20
"169","JTM","sed 10m r1 f1 20 jun 19 bvr ",2019-06-21,0.1147,0.1332,250,"","Huge discrepency between R1 (very green and cloudy) and R2 (normal)",0.0185,74.0000000000001,"10","1","1","sed","bvr",2019-06-20
"170","JTM","sed 10m r1 f2 20 jun 19 bvr ",2019-06-21,0.1141,0.1329,250,"","",0.0188,75.2,"10","1","2","sed","bvr",2019-06-20
"171","JTM","sed 10m r2 f1 20 jun 19 bvr ",2019-06-21,0.114,0.1215,200,"","",0.00749999999999999,37.5,"10","2","1","sed","bvr",2019-06-20
"172","JTM","sed 10m r2 f2 20 jun 19 bvr ",2019-06-21,0.1144,0.1216,200,"","Samples were homogenized ",0.0072,36,"10","2","2","sed","bvr",2019-06-20
"173","JHW","sed 4m r1 f1 8 jul 19 fcr",2019-07-09,0.1151,0.131,300,"","Little bit of filter paper came off",0.0159,53,"4","1","1","sed","fcr",2019-07-08
"174","JHW","sed 4m r1 f2 8 jul 19 fcr",2019-07-09,0.1139,0.132,300,"","",0.0181,60.3333333333333,"4","1","2","sed","fcr",2019-07-08
"175","JHW","sed 4m r2 f1 8 jul 19 fcr",2019-07-09,0.1139,0.128,300,"","",0.0141,47,"4","2","1","sed","fcr",2019-07-08
"176","JHW","sed 4m r2 f2 8 jul 19 fcr",2010-07-09,0.1148,0.1312,300,"","",0.0164,54.6666666666667,"4","2","2","sed","fcr",2019-07-08
"177","JHW","sed 8m r1 f1 8 jul 19 fcr",2019-07-09,0.1145,0.1323,200,"","Little bit of filter paper came off",0.0178,89,"8","1","1","sed","fcr",2019-07-08
"178","JHW","sed 8m r1 f2 8 jul 19 fcr",2019-07-09,0.1141,0.1324,200,"","Little bit of filter paper came off",0.0183,91.5,"8","1","2","sed","fcr",2019-07-08
"179","JHW","sed 8m r2 f1 8 jul 19 fcr",2019-07-09,0.1136,0.1331,200,"","",0.0195,97.4999999999999,"8","2","1","sed","fcr",2019-07-08
"180","JHW","sed 8m r2 f2 8 jul 19 fcr",2019-07-09,0.1145,0.129,200,"","",0.0145,72.5,"8","2","2","sed","fcr",2019-07-08
"181","WW","sed 4m r1 f1 29 apr 19 fcr",2019-04-30,0.1149,0.1262,200,"","",0.0113,56.5,"4","1","1","sed","fcr",2019-04-29
"182","JM","sed 4m r1 f2 29 apr 19 fcr",2019-04-30,0.1153,0.13,200,"","",0.0147,73.5,"4","1","2","sed","fcr",2019-04-29
"183","JM","sed 5m r1 f1 29 apr 19 bvr",2019-04-30,0.1153,0.1321,200,"","Little bit of filter paper came off ",0.0168,84,"5","1","1","sed","bvr",2019-04-29
"184","JM ","sed 5m r1 f2 29 apr 19 bvr ",2019-04-30,0.1149,0.1238,100,"","",0.00889999999999999,88.9999999999999,"5","1","2","sed","bvr",2019-04-29
"185","JM","sed 5m r2 f1 29 apr 19 bvr",2019-04-30,0.1145,0.1232,100,"","",0.0087,87,"5","2","1","sed","bvr",2019-04-29
"186","JM","sed 5m r2 f2 29 apr 19 bvr ",2019-04-30,0.1149,0.1221,100,"","",0.0072,72,"5","2","2","sed","bvr",2019-04-29
"187","HLW","sed 10m r1 f1 29 apr 19 bvr ",2019-04-30,0.1165,0.1246,100,"","",0.0081,81,"10","1","1","sed","bvr",2019-04-29
"188","HLW","sed 10m r1 f2 29 apr 19 bvr ",2019-04-30,0.1154,0.1238,100,"","",0.00839999999999999,83.9999999999999,"10","1","2","sed","bvr",2019-04-29
"189","HLW","sed 8m r2 f1 29 apr 19 fcr",2019-04-30,0.1157,0.1213,100,"","",0.00560000000000001,56.0000000000001,"8","2","1","sed","fcr",2019-04-29
"190","HLW","sed 8m r2 f2 29 apr 19 fcr ",2019-04-30,0.1147,0.1226,100,"","",0.0079,79,"8","2","2","sed","fcr",2019-04-29
"191","HLW","sed 4m r2 f1 29 apr 19 fcr",2019-04-30,0.1153,0.1263,100,"","",0.011,110,"4","2","1","sed","fcr",2019-04-29
"192","HLW","sed 4m r2 f2 29 apr 19 fcr ",2019-04-30,0.1146,0.1251,100,"","",0.0105,105,"4","2","2","sed","fcr",2019-04-29
"193","HLW","sed 8m r1 f1 29 apr 19 fcr ",2019-04-30,0.1146,NA,100,"","",NA,NA,"8","1","1","sed","fcr",2019-04-29
"194","HLW","sed 8m r1 f2 29 apr 19 fcr ",2019-04-30,0.1151,0.125,100,"","",0.00990000000000001,99.0000000000001,"8","1","2","sed","fcr",2019-04-29
"195","HLW","sed 10m r1 f1 29 apr 19 bvr ",2019-04-30,0.1149,0.123,100,"","",0.0081,81,"10","1","1","sed","bvr",2019-04-29
"196","HLW","sed 10m r1 f2 29 apr 19 bvr ",2019-04-30,0.1147,0.1245,100,"","",0.0098,98,"10","1","2","sed","bvr",2019-04-29
"197","RPM","sed 8m r1 f1 13 may 19 fcr",2019-05-14,0.1139,0.1227,200,"","",0.0088,44,"8","1","1","sed","fcr",2019-05-13
"198","RPM","sed 8m r1 f2 13 may 19 fcr ",2019-05-14,0.1136,0.1231,200,"","",0.00949999999999999,47.5,"8","1","2","sed","fcr",2019-05-13
"199","RPM","sed 8m r2 f1 13 may 19 fcr ",2019-05-14,0.1135,0.1232,200,"","",0.0097,48.5,"8","2","1","sed","fcr",2019-05-13
"200","RPM","sed 8m r2 f2 13 may 19 fcr ",2019-05-14,0.1135,0.1236,200,"","",0.0101,50.5,"8","2","2","sed","fcr",2019-05-13
"201","RPM","sed 4m r1 f1 13 may 19 fcr",2019-05-14,0.1132,0.1209,200,"","",0.0077,38.5,"4","1","1","sed","fcr",2019-05-13
"202","RPM","sed 4m r1 f2 13 may 19 fcr ",2019-05-14,0.1128,0.1203,200,"","",0.00750000000000001,37.5,"4","1","2","sed","fcr",2019-05-13
"203","RPM","sed 4m r2 f1 13 may 19 fcr",2019-05-14,0.1131,0.12,200,"","",0.00689999999999999,34.4999999999999,"4","2","1","sed","fcr",2019-05-13
"204","RPM ","sed 4m r2 f2 13 may 19 fcr ",2019-05-14,0.1141,0.121,200,"","",0.0069,34.5,"4","2","2","sed","fcr",2019-05-13
"205","MEL ","sed 5m r1 f1 16 may 19 bvr",2019-05-16,0.1147,0.1271,400,"","",0.0124,31,"5","1","1","sed","bvr",2019-05-16
"206","MEL ","sed 5m r1 f2 16 may 19 bvr",2019-05-16,0.1147,0.1284,400,"","",0.0137,34.25,"5","1","2","sed","bvr",2019-05-16
"207","MEL ","sed 5m r2 f1 16 may 19 bvr ",2019-05-16,0.1136,0.1223,300,"","",0.0087,29,"5","2","1","sed","bvr",2019-05-16
"208","JM","sed 5m r1 f1 20 sep 19 bvr ",2019-09-21,0.1137,0.1159,100,"1530mL ","Little bit of filter paper came off ",0.00220000000000001,22.0000000000001,"5","1","1","sed","bvr",2019-09-20
"209","JM","sed 5m r1 f2 20 sep 19 bvr ",2019-09-21,0.1145,0.1175,100,"1530mL ","",0.00299999999999999,29.9999999999999,"5","1","2","sed","bvr",2019-09-20
"210","JM","sed 5m r2 f1 20 sep 19 bvr ",2019-09-21,0.1142,0.1169,100,"1550mL","",0.00270000000000001,27.0000000000001,"5","2","1","sed","bvr",2019-09-20
"211","JM","sed 5m r2 f2 20 sep 19 bvr ",2019-09-21,0.114,0.1175,100,"1550mL","",0.00349999999999999,34.9999999999999,"5","2","2","sed","bvr",2019-09-20
"212","JM","sed 10m r1 f1 20 sep 19 bvr",2019-09-21,0.1143,0.1224,100,"1540mL","",0.0081,81,"10","1","1","sed","bvr",2019-09-20
"213","JM","sed 10m r1 f2 20 sep 19 bvr ",2019-09-21,0.1144,0.1239,100,"1540mL","",0.00949999999999999,95,"10","1","2","sed","bvr",2019-09-20
"214","JM","sed 10m r2 f1 20 sep 19 bvr",2019-09-21,0.1148,0.122,100,"1395mL","",0.0072,72,"10","2","1","sed","bvr",2019-09-20
"215","JM","sed 10m r2 f2 20 sep 19 bvr ",2019-09-21,0.115,0.1251,100,"1395mL","",0.0101,101,"10","2","2","sed","bvr",2019-09-20
"216","ASL","sed 4m r1 f1 27 sep 19 fcr",2019-09-28,0.1136,0.1211,110,"1510mL","",0.00749999999999999,68.1818181818181,"4","1","1","sed","fcr",2019-09-27
"217","ASL","sed 4m r1 f2 27 sep 19 fcr ",2019-09-28,0.115,0.1203,90,"1510mL","",0.0053,58.8888888888889,"4","1","2","sed","fcr",2019-09-27
"218","ASL","sed 4m r2 f1 27 sep 19 fcr ",2019-09-28,0.1142,0.1185,85,"1580mL","",0.0043,50.5882352941176,"4","2","1","sed","fcr",2019-09-27
"219","ASL","sed 4m r2 f2 27 sep 19 fcr",2019-09-28,0.1148,0.1186,90,"1580mL","",0.0038,42.2222222222222,"4","2","2","sed","fcr",2019-09-27
"220","ASL","sed 8m r1 f1 27 sep 19 fcr",2019-09-28,0.1142,0.1265,20,"1760mL","",0.0123,615,"8","1","1","sed","fcr",2019-09-27
"221","ASL","sed 8m r1 f2 27 sep 19 fcr ",2019-09-28,0.1138,0.1269,20,"1760mL","",0.0131,655.000000000001,"8","1","2","sed","fcr",2019-09-27
"222","ASL","sed 8m r2 f1 27 sep 19 fcr ",2019-09-28,0.1146,0.1247,25,"1740mL","",0.0101,404.000000000001,"8","2","1","sed","fcr",2019-09-27
"223","ASL","sed 8m r2 f2 27 sep 19 fcr ",2019-09-28,0.1154,0.1318,25,"1740mL","",0.0164,656,"8","2","2","sed","fcr",2019-09-27
"224","ASL","sed 4m r1 f1 11 oct 19 fcr ",2019-10-11,0.1141,0.118,110,"1650mL","",0.0039,35.4545454545455,"4","1","1","sed","fcr",2019-10-11
"225","ASL","sed 4m r1 f2 11 oct 19 fcr",2019-10-11,0.1147,0.1194,80,"11mL","",0.00470000000000001,58.7500000000001,"4","1","2","sed","fcr",2019-10-11
"226","ASL","sed 4m r2 f1 11 oct 19 fcr",2019-10-11,0.1144,0.1192,70,"1650mL","",0.0048,68.5714285714286,"4","2","1","sed","fcr",2019-10-11
"227","ASL","sed 4m r2 f2 11 oct 19 fcr",2019-10-11,0.1145,0.1193,75,"11mL","",0.0048,64,"4","2","2","sed","fcr",2019-10-11
"228","ASL","sed 8m r1 f1 11 oct 19 fcr",2019-10-11,0.1149,0.1238,45,"1640mL","",0.00889999999999999,197.777777777778,"8","1","1","sed","fcr",2019-10-11
"229","ASL","sed 8m r1 f2 11 oct 19 fcr",2019-10-11,0.1155,0.1247,45,"11mL","",0.0092,204.444444444444,"8","1","2","sed","fcr",2019-10-11
"230","ASL","sed 8m r2 f1 11 oct 19 fcr",2019-10-11,0.1148,0.1248,45,"1670mL","",0.01,222.222222222222,"8","2","1","sed","fcr",2019-10-11
"231","ASL","sed 8m r2 f2 11 oct 19 fcr ",2019-10-11,0.1148,0.1261,60,"11mL","",0.0113,188.333333333333,"8","2","2","sed","fcr",2019-10-11
"232","MEL ","sed 5m r2 f2 16 may 19 bvr ",2019-05-16,0.1143,0.124,300,"","",0.0097,32.3333333333333,"5","2","2","sed","bvr",2019-05-16
"233","MEL ","sed 10m r1 f1 16 may 19 bvr",2019-05-16,0.1156,0.1305,200,"","",0.0149,74.5,"10","1","1","sed","bvr",2019-05-16
"234","MEL ","sed 10m r1 f2 16 may 19 bvr",2019-05-16,0.1144,0.1275,200,"","",0.0131,65.5,"10","1","2","sed","bvr",2019-05-16
"235","MEL ","sed 10m r2 f1 16 may 19 bvr",2019-05-16,0.1148,0.1241,200,"","",0.0093,46.5,"10","2","1","sed","bvr",2019-05-16
"236","MEL ","sed 10m r2 f2 16 may 19 bvr ",2019-05-16,0.1141,0.1253,200,"","",0.0112,56,"10","2","2","sed","bvr",2019-05-16
"237","JHW","sed 4m r1 f1 27 may 19 fcr",2019-05-28,0.1138,0.123,300,"","",0.0092,30.6666666666667,"4","1","1","sed","fcr",2019-05-27
"238","JHW","sed 4m r1 f2 27 may 19 fcr",2019-05-28,0.1136,0.1219,300,"","",0.00829999999999999,27.6666666666666,"4","1","2","sed","fcr",2019-05-27
"239","JHW","sed 4m r2 f1 27 may 19 fcr",2019-05-28,0.1152,0.1246,300,"","",0.00940000000000001,31.3333333333334,"4","2","1","sed","fcr",2019-05-27
"240","JHW","sed 4m r2 f2 27 may 19 fcr",2019-05-28,0.114,0.1236,300,"","",0.0096,32,"4","2","2","sed","fcr",2019-05-27
"241","JHW","sed 8m r1 f1 27 may 19 fcr",2019-05-28,0.1138,0.1228,200,"","",0.00900000000000001,45,"8","1","1","sed","fcr",2019-05-27
"242","JHW","sed 8m r1 f2 27 may 19 fcr",2019-05-28,0.1158,0.122,200,"","",0.0062,31,"8","1","2","sed","fcr",2019-05-27
"243","JHW","sed 8m r2 f1 27 may 19 fcr",2019-05-28,0.1145,0.1226,200,"","Little bit of filter paper came off",0.0081,40.5,"8","2","1","sed","fcr",2019-05-27
"244","JHW","sed 8m r2 f2 27 may 19 fcr",2019-05-28,0.1129,0.122,200,"","",0.0091,45.5,"8","2","2","sed","fcr",2019-05-27
"245","JTM","sed 5m r1 f1 30 may 19 bvr",2019-05-31,0.1142,NA,300,"","",NA,NA,"5","1","1","sed","bvr",2019-05-30
"246","JTM","sed 5m r1 f2 30 may 19 bvr",2019-05-31,0.1133,0.1231,300,"","",0.0098,32.6666666666667,"5","1","2","sed","bvr",2019-05-30
"247","JTM","sed 5m r2 f1 30 may 19 bvr",2019-05-31,0.1138,0.1204,300,"","Little bit of filter paper came off",0.00659999999999999,22,"5","2","1","sed","bvr",2019-05-30
"248","JTM","sed 5m r2 f2 30 may 19 bvr",2019-05-31,0.1151,0.1229,300,"","",0.0078,26,"5","2","2","sed","bvr",2019-05-30
"249","JTM","sed 10m r1 f1 30 may 19 bvr",2019-05-31,0.1146,NA,200,"","",NA,NA,"10","1","1","sed","bvr",2019-05-30
"250","JTM","sed 10m r1 f2 30 may 19 bvr",2019-05-31,0.1152,0.1254,200,"","",0.0102,51.0000000000001,"10","1","2","sed","bvr",2019-05-30
"251","JTM","sed 10m r2 f1 30 may 19 bvr",2019-05-31,0.1143,0.126,200,"","",0.0117,58.5,"10","2","1","sed","bvr",2019-05-30
"252","JTM","sed 10m r2 f2 30 may 19 bvr",2019-05-31,0.1144,0.1257,200,"","Little bit of filter paper came off",0.0113,56.5,"10","2","2","sed","bvr",2019-05-30
"253","ASL","sed 4m r1 f1 10 jun 19 fcr",2019-06-11,0.115,0.1226,205,"","",0.0076,37.0731707317073,"4","1","1","sed","fcr",2019-06-10
"254","ASL","sed 4m r1 f2 10 jun 19 fcr",2019-06-11,0.1149,0.1221,200,"","",0.0072,36,"4","1","2","sed","fcr",2019-06-10
"255","ASL","sed 4m r2 f1 10 jun 19 fcr",2019-06-11,0.1154,0.1215,205,"","",0.00609999999999999,29.7560975609756,"4","2","1","sed","fcr",2019-06-10
"256","ASL","sed 4m r2 f2 10 jun 19 fcr",2019-06-11,0.1138,0.12,205,"","",0.0062,30.2439024390244,"4","2","2","sed","fcr",2019-06-10
"257","ASL","sed 8m r1 f1 10 jun 19 fcr",2019-06-11,0.1142,NA,200,"","",NA,NA,"8","1","1","sed","fcr",2019-06-10
"258","ASL","sed 8m r1 f2 10 jun 19 fcr ",2019-06-11,0.1145,NA,200,"","",NA,NA,"8","1","2","sed","fcr",2019-06-10
"259","ASL","bvr 18 oct 19 10m r2 f1",2019-10-22,0.1151,0.126,45,"1700mL","",0.0109,242.222222222222,"10","2","1",NA,"bvr",2019-10-18
"260","ASL","bvr 18 oct 19 10m r2 f2",2019-10-22,0.1149,0.1254,55,"","",0.0105,190.909090909091,"10","2","2",NA,"bvr",2019-10-18
"261","ASL","bvr 18 oct 19 5m r2 f1 ",2019-10-22,0.1148,0.1243,100,"1620mL","",0.00949999999999999,95,"5","2","1",NA,"bvr",2019-10-18
"262","ASL","bvr 18 oct 19 5m r2 f2 ",2019-10-22,0.1147,0.1228,80,"","",0.00810000000000001,101.25,"5","2","2",NA,"bvr",2019-10-18
"263","ASL","bvr 18 oct 19 5m r1 f1 ",2019-10-22,0.1146,0.1228,85,"1620mL","",0.00820000000000001,96.4705882352943,"5","1","1",NA,"bvr",2019-10-18
"264","ASL","bvr 18 oct 19 5m r1 f2",2019-10-22,0.115,0.1227,75,"","",0.0077,102.666666666667,"5","1","2",NA,"bvr",2019-10-18
"265","ASL","bvr 18 oct 19 10m r1 f1 ",2019-10-22,0.1144,0.1233,50,"1500mL","",0.00890000000000001,178,"10","1","1",NA,"bvr",2019-10-18
"266","ASL","bvr 18 oct 19 10m r1 f2",2019-10-22,0.1145,0.1236,45,"","",0.0091,202.222222222222,"10","1","2",NA,"bvr",2019-10-18
"267","JTM","bvr 28 oct 19 5m r1 f1 ",2019-10-30,0.1142,0.1181,75,"1655mL","",0.0039,52,"5","1","1",NA,"bvr",2019-10-28
"268","JTM","bvr 28 oct 19 5m r1 f2 ",2019-10-30,0.1152,0.1199,75,"1655mL","",0.00470000000000001,62.6666666666668,"5","1","2",NA,"bvr",2019-10-28
"269","JTM","bvr 28 oct 19 5m r2 f1 ",2019-10-30,0.1156,0.1201,75,"1670mL","",0.0045,60.0000000000001,"5","2","1",NA,"bvr",2019-10-28
"270","JTM","bvr 28 oct 19 5m r2 f2 ",2019-10-30,0.1137,0.1175,75,"1670mL","",0.0038,50.6666666666666,"5","2","2",NA,"bvr",2019-10-28
"271","JTM","bvr 28 oct 19 10m r1 f1",2019-10-30,0.1142,0.1253,75,"1700mL","",0.0111,148,"10","1","1",NA,"bvr",2019-10-28
"272","JTM","bvr 28 oct 19 10m r1 f2",2019-10-30,0.1155,0.1269,75,"1700mL","",0.0114,152,"10","1","2",NA,"bvr",2019-10-28
"273","JTM","bvr 28 oct 19 10m r2 f1",2019-10-30,0.1144,0.1252,75,"1650mL","",0.0108,144,"10","2","1",NA,"bvr",2019-10-28
"274","JTM","bvr 28 oct 19 10m r2 f2 ",2019-10-30,0.1139,0.1226,75,"1650mL","",0.0087,116,"10","2","2",NA,"bvr",2019-10-28
