2022 ranged CAL Measured headspace CH4  in ppm from GC in ppm,2022 CAL Measured headspace CO2 in ppm from GC in ppm,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Analyst code,Note,Date/Time Sampled,Reservoir,Site,Sample ID,Rep,Water Vial
0.65,312,82,BRN10may22_034.gcd,5/11/22 3:40,165,Unknown,0,6.074,"2,144",0,-----,-----,-----,-----,,82,BRN10may22_034.gcd,5/11/22 3:40,165,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,82,BRN10may22_034.gcd,5/11/22 3:40,165,Unknown,0,12.229,"2,013",0.35,-----,-----,-----,-----,,1,,2022-05-09 9:41,BVR,1,4,2,
0.62,260,83,BRN10may22_035.gcd,5/11/22 4:11,31,Unknown,0,6.084,"2,123",-0.001,-----,-----,-----,-----,,83,BRN10may22_035.gcd,5/11/22 4:11,31,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,83,BRN10may22_035.gcd,5/11/22 4:11,31,Unknown,0,12.217,"1,761",0.297,-----,-----,-----,-----,,1,,2022-05-09 9:27,BVR,1,1,1,
0.67,407,84,BRN10may22_036.gcd,5/11/22 4:41,113,Unknown,0,6.072,"2,158",0,-----,-----,-----,-----,,84,BRN10may22_036.gcd,5/11/22 4:41,113,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,84,BRN10may22_036.gcd,5/11/22 4:41,113,Unknown,0,12.193,"2,470",0.447,-----,-----,-----,-----,,1,,2022-05-09 9:31,BVR,1,4,1,
0.63,342,85,BRN10may22_037.gcd,5/11/22 5:12,49,Unknown,0,6.072,"2,131",0,-----,-----,-----,-----,,85,BRN10may22_037.gcd,5/11/22 5:12,49,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,85,BRN10may22_037.gcd,5/11/22 5:12,49,Unknown,0,12.203,"2,159",0.381,-----,-----,-----,-----,,1,,2022-05-09 9:28,BVR,1,2,1,
0.68,268,86,BRN10may22_038.gcd,5/11/22 5:42,211,Unknown,0,6.064,"2,161",0,-----,-----,-----,-----,,86,BRN10may22_038.gcd,5/11/22 5:42,211,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,86,BRN10may22_038.gcd,5/11/22 5:42,211,Unknown,0,12.202,"1,797",0.304,-----,-----,-----,-----,,1,,2022-05-09 9:40,BVR,1,3,2,
0.64,405,87,BRN10may22_039.gcd,5/11/22 6:13,39,Unknown,0,6.071,"2,136",0,-----,-----,-----,-----,,87,BRN10may22_039.gcd,5/11/22 6:13,39,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,87,BRN10may22_039.gcd,5/11/22 6:13,39,Unknown,0,12.23,"2,462",0.446,-----,-----,-----,-----,,1,,2022-05-09 9:34,BVR,1,6,1,
0.99,370,88,BRN10may22_040.gcd,5/11/22 6:43,103,Unknown,0,6.066,"2,370",0,-----,-----,-----,-----,,88,BRN10may22_040.gcd,5/11/22 6:43,103,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,88,BRN10may22_040.gcd,5/11/22 6:43,103,Unknown,0,12.233,"2,292",0.41,-----,-----,-----,-----,,1,,2022-05-09 9:42,BVR,1,5,2,
1.02,442,89,BRN10may22_041.gcd,5/11/22 7:14,109,Unknown,0,6.06,"2,389",0,-----,-----,-----,-----,,89,BRN10may22_041.gcd,5/11/22 7:14,109,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,89,BRN10may22_041.gcd,5/11/22 7:14,109,Unknown,0,12.191,"2,642",0.484,-----,-----,-----,-----,,1,,2022-05-09 9:38,BVR,1,2,2,
1.28,452,90,BRN10may22_042.gcd,5/11/22 7:45,38,Unknown,0,6.067,"2,555",0,-----,-----,-----,-----,,90,BRN10may22_042.gcd,5/11/22 7:45,38,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,90,BRN10may22_042.gcd,5/11/22 7:45,38,Unknown,0,12.205,"2,690",0.494,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
1.01,352,91,BRN10may22_043.gcd,5/11/22 8:15,142,Unknown,0,6.077,"2,383",0,-----,-----,-----,-----,,91,BRN10may22_043.gcd,5/11/22 8:15,142,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,91,BRN10may22_043.gcd,5/11/22 8:15,142,Unknown,0,12.223,"2,203",0.391,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.91,480,92,BRN10may22_044.gcd,5/11/22 8:46,50,Unknown,0,6.076,"2,320",0,-----,-----,-----,-----,,92,BRN10may22_044.gcd,5/11/22 8:46,50,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,92,BRN10may22_044.gcd,5/11/22 8:46,50,Unknown,0,12.206,"2,827",0.524,-----,-----,-----,-----,,1,,2022-05-09 9:37,BVR,1,1,2,
0.83,377,93,BRN10may22_045.gcd,5/11/22 9:16,163,Unknown,0,6.064,"2,264",0,-----,-----,-----,-----,,93,BRN10may22_045.gcd,5/11/22 9:16,163,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,93,BRN10may22_045.gcd,5/11/22 9:16,163,Unknown,0,12.23,"2,325",0.417,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.66,376,94,BRN10may22_046.gcd,5/11/22 9:47,16,Unknown,0,6.064,"2,148",0,-----,-----,-----,-----,,94,BRN10may22_046.gcd,5/11/22 9:47,16,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,94,BRN10may22_046.gcd,5/11/22 9:47,16,Unknown,0,12.208,"2,323",0.416,-----,-----,-----,-----,,1,,2022-05-09 9:30,BVR,1,3,1,
0.41,239,95,BRN10may22_047.gcd,5/11/22 10:17,180,Unknown,0,6.071,"1,977",-0.001,-----,-----,-----,-----,,95,BRN10may22_047.gcd,5/11/22 10:17,180,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,95,BRN10may22_047.gcd,5/11/22 10:17,180,Unknown,0,12.205,"1,658",0.275,-----,-----,-----,-----,,1,,2022-05-09 9:33,BVR,1,5,1,
0.42,313,96,BRN10may22_048.gcd,5/11/22 10:48,152,Unknown,0,6.063,"1,980",-0.001,-----,-----,-----,-----,,96,BRN10may22_048.gcd,5/11/22 10:48,152,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,96,BRN10may22_048.gcd,5/11/22 10:48,152,Unknown,0,12.222,"2,016",0.351,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.05,318,97,BRN10may22_049.gcd,5/11/22 11:18,25,Unknown,0,6.069,"1,714",-0.001,-----,-----,-----,-----,,97,BRN10may22_049.gcd,5/11/22 11:18,25,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,97,BRN10may22_049.gcd,5/11/22 11:18,25,Unknown,0,12.215,"2,039",0.356,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.78,310,98,BRN10may22_050.gcd,5/11/22 11:49,30,Unknown,0,6.059,"2,231",0,-----,-----,-----,-----,,98,BRN10may22_050.gcd,5/11/22 11:49,30,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,98,BRN10may22_050.gcd,5/11/22 11:49,30,Unknown,0,12.208,"2,000",0.347,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.9,318,99,BRN10may22_051.gcd,5/11/22 12:20,215,Unknown,0,6.081,"2,313",0,-----,-----,-----,-----,,99,BRN10may22_051.gcd,5/11/22 12:20,215,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,99,BRN10may22_051.gcd,5/11/22 12:20,215,Unknown,0,12.224,"2,039",0.356,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.6,413,100,BRN10may22_052.gcd,5/11/22 12:50,183,Unknown,0,6.086,"2,106",-0.001,-----,-----,-----,-----,,100,BRN10may22_052.gcd,5/11/22 12:50,183,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,100,BRN10may22_052.gcd,5/11/22 12:50,183,Unknown,0,12.227,"2,502",0.454,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.77,488,101,BRN10may22_053.gcd,5/11/22 13:21,181,Unknown,0,6.062,"2,224",0,-----,-----,-----,-----,,101,BRN10may22_053.gcd,5/11/22 13:21,181,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,101,BRN10may22_053.gcd,5/11/22 13:21,181,Unknown,0,12.242,"2,862",0.531,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.49,275,102,BRN10may22_054.gcd,5/11/22 13:51,45,Unknown,0,6.096,"2,032",-0.001,-----,-----,-----,-----,,102,BRN10may22_054.gcd,5/11/22 13:51,45,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,102,BRN10may22_054.gcd,5/11/22 13:51,45,Unknown,0,12.241,"1,833",0.312,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.97,362,103,BRN10may22_055.gcd,5/11/22 14:22,28,Unknown,0,6.058,"2,357",0,-----,-----,-----,-----,,103,BRN10may22_055.gcd,5/11/22 14:22,28,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,103,BRN10may22_055.gcd,5/11/22 14:22,28,Unknown,0,12.216,"2,254",0.402,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
1.29,394,104,BRN10may22_056.gcd,5/11/22 14:53,196,Unknown,0,6.067,"2,564",0,-----,-----,-----,-----,,104,BRN10may22_056.gcd,5/11/22 14:53,196,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,104,BRN10may22_056.gcd,5/11/22 14:53,196,Unknown,0,12.214,"2,410",0.435,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.63,391,105,BRN10may22_057.gcd,5/11/22 15:23,184,Unknown,0,6.071,"2,125",-0.001,-----,-----,-----,-----,,105,BRN10may22_057.gcd,5/11/22 15:23,184,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,105,BRN10may22_057.gcd,5/11/22 15:23,184,Unknown,0,12.226,"2,395",0.432,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
21.76,8205,106,BRN10may22_058.gcd,5/11/22 15:54,014 wonky cap,Unknown,0,6.038,"10,324",0.016,-----,-----,-----,-----,,106,BRN10may22_058.gcd,5/11/22 15:54,014 wonky cap,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,106,BRN10may22_058.gcd,5/11/22 15:54,014 wonky cap,Unknown,0,12.166,"40,400",8.443,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
2.6,490,35,BRN02jun22_001.gcd,6/2/22 10:31,air,Unknown,0,6.583,"4,451",2.633,-----,-----,-----,-----,,35,BRN02jun22_001.gcd,6/2/22 10:31,air,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,35,BRN02jun22_001.gcd,6/2/22 10:31,air,Unknown,0,13.675,"5,115",497.077,-----,-----,-----,-----,,1,,,BVR,,,,
2756.43,1426,36,BRN02jun22_002.gcd,6/2/22 11:04,air + 100,Unknown,0,6.504,"2,271,128",0,-----,-----,-----,-----,,36,BRN02jun22_002.gcd,6/2/22 11:04,air + 100,Unknown,0,6.465,"18,899","2,488.47",-----,-----,-----,-----,,36,BRN02jun22_002.gcd,6/2/22 11:04,air + 100,Unknown,0,13.67,"19,012","1,432.36",-----,-----,-----,-----,,1,,,BVR,,,,
8.01,317,37,BRN02jun22_003.gcd,6/2/22 11:38,yellow tank,Unknown,0,6.55,"7,785",8.867,-----,-----,-----,-----,,37,BRN02jun22_003.gcd,6/2/22 11:38,yellow tank,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,37,BRN02jun22_003.gcd,6/2/22 11:38,yellow tank,Unknown,0,13.678,"3,283",314.262,-----,-----,-----,-----,,1,,,BVR,,,,
3.74,445,38,BRN02jun22_004.gcd,6/2/22 12:11,143,Unknown,0,6.568,"5,170",3.726,-----,-----,-----,-----,,38,BRN02jun22_004.gcd,6/2/22 12:11,143,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,38,BRN02jun22_004.gcd,6/2/22 12:11,143,Unknown,0,13.694,"4,628",451.248,-----,-----,-----,-----,,1,,2022-05-31 10:04,BVR,,,,
4.14,340,39,BRN02jun22_005.gcd,6/2/22 12:45,121,Unknown,0,6.575,"5,420",4.129,-----,-----,-----,-----,,39,BRN02jun22_005.gcd,6/2/22 12:45,121,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,39,BRN02jun22_005.gcd,6/2/22 12:45,121,Unknown,0,13.71,"3,520",339.59,-----,-----,-----,-----,,1,,2022-05-31 9:56,BVR,,,,
3.3,464,40,BRN02jun22_006.gcd,6/2/22 13:18,178,Unknown,0,6.574,"4,891",3.292,-----,-----,-----,-----,,40,BRN02jun22_006.gcd,6/2/22 13:18,178,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,40,BRN02jun22_006.gcd,6/2/22 13:18,178,Unknown,0,13.685,"4,834",470.86,-----,-----,-----,-----,,1,,2022-05-31 0:00,BVR,,,,
3.22,413,41,BRN02jun22_007.gcd,6/2/22 13:52,213,Unknown,0,6.579,"4,845",3.222,-----,-----,-----,-----,,41,BRN02jun22_007.gcd,6/2/22 13:52,213,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,41,BRN02jun22_007.gcd,6/2/22 13:52,213,Unknown,0,13.674,"4,286",417.907,-----,-----,-----,-----,,1,,2022-05-31 10:03,BVR,,,,
2.58,508,42,BRN02jun22_008.gcd,6/2/22 14:26,119,Unknown,0,6.58,"4,433",2.607,-----,-----,-----,-----,,42,BRN02jun22_008.gcd,6/2/22 14:26,119,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,42,BRN02jun22_008.gcd,6/2/22 14:26,119,Unknown,0,13.686,"5,310",515.024,-----,-----,-----,-----,,1,,2022-05-31 0:00,BVR,,,,
2.93,544,43,BRN02jun22_009.gcd,6/2/22 14:59,217,Unknown,0,6.577,"4,658",2.94,-----,-----,-----,-----,,43,BRN02jun22_009.gcd,6/2/22 14:59,217,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,43,BRN02jun22_009.gcd,6/2/22 14:59,217,Unknown,0,13.682,"5,711",551.096,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
3.19,448,44,BRN02jun22_010.gcd,6/2/22 15:33,79,Unknown,0,6.578,"4,823",3.187,-----,-----,-----,-----,,44,BRN02jun22_010.gcd,6/2/22 15:33,79,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,44,BRN02jun22_010.gcd,6/2/22 15:33,79,Unknown,0,13.688,"4,663",454.555,-----,-----,-----,-----,,1,,2022-05-31 11:37,BVR,,,,
2.97,454,45,BRN02jun22_011.gcd,6/2/22 16:06,157,Unknown,0,6.587,"4,685",2.979,-----,-----,-----,-----,,45,BRN02jun22_011.gcd,6/2/22 16:06,157,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,45,BRN02jun22_011.gcd,6/2/22 16:06,157,Unknown,0,13.683,"4,729",460.898,-----,-----,-----,-----,,1,,2022-05-31 11:36,BVR,,,,
3.13,545,46,BRN02jun22_012.gcd,6/2/22 16:40,190,Unknown,0,6.587,"4,784",3.128,-----,-----,-----,-----,,46,BRN02jun22_012.gcd,6/2/22 16:40,190,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,46,BRN02jun22_012.gcd,6/2/22 16:40,190,Unknown,0,13.686,"5,728",552.589,-----,-----,-----,-----,,1,,2022-05-31 9:45,BVR,,,,
3.95,374,47,BRN02jun22_013.gcd,6/2/22 17:14,179,Unknown,0,6.587,"5,304",3.941,-----,-----,-----,-----,,47,BRN02jun22_013.gcd,6/2/22 17:14,179,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,47,BRN02jun22_013.gcd,6/2/22 17:14,179,Unknown,0,13.698,"3,874",376.514,-----,-----,-----,-----,,1,,2022-05-31 11:39,BVR,,,,
3.24,461,48,BRN02jun22_014.gcd,6/2/22 17:47,105,Unknown,0,6.578,"4,852",3.232,-----,-----,-----,-----,,48,BRN02jun22_014.gcd,6/2/22 17:47,105,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,48,BRN02jun22_014.gcd,6/2/22 17:47,105,Unknown,0,13.702,"4,803",467.863,-----,-----,-----,-----,,1,,2022-05-31 10:02,BVR,,,,
3.31,586,49,BRN02jun22_015.gcd,6/2/22 18:21,129,Unknown,0,6.578,"4,900",3.306,-----,-----,-----,-----,,49,BRN02jun22_015.gcd,6/2/22 18:21,129,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,49,BRN02jun22_015.gcd,6/2/22 18:21,129,Unknown,0,13.698,"6,187",592.639,-----,-----,-----,-----,,1,,2022-05-31 0:00,BVR,,,,
3.05,469,50,BRN02jun22_016.gcd,6/2/22 18:54,71,Unknown,0,6.58,"4,734",3.052,-----,-----,-----,-----,,50,BRN02jun22_016.gcd,6/2/22 18:54,71,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,50,BRN02jun22_016.gcd,6/2/22 18:54,71,Unknown,0,13.67,"4,889",476.012,-----,-----,-----,-----,,1,Two of these vials on the same day both Air vials,2022-05-31 9:53,BVR,,,,
2.02,511,51,BRN02jun22_017.gcd,6/2/22 19:28,195,Unknown,0,6.576,"4,080",2.1,-----,-----,-----,-----,,51,BRN02jun22_017.gcd,6/2/22 19:28,195,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,51,BRN02jun22_017.gcd,6/2/22 19:28,195,Unknown,0,13.708,"5,343",518.062,-----,-----,-----,-----,,1,,2022-05-31 0:00,BVR,,,,
0.94,485,52,BRN02jun22_018.gcd,6/2/22 20:01,198,Unknown,0,6.557,"3,383",1.147,-----,-----,-----,-----,,52,BRN02jun22_018.gcd,6/2/22 20:01,198,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,52,BRN02jun22_018.gcd,6/2/22 20:01,198,Unknown,0,13.705,"5,065",492.469,-----,-----,-----,-----,,1,,2022-05-31 11:35,BVR,,,,
1.57,511,53,BRN02jun22_019.gcd,6/2/22 20:35,161,Unknown,0,6.567,"3,787",1.692,-----,-----,-----,-----,,53,BRN02jun22_019.gcd,6/2/22 20:35,161,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,53,BRN02jun22_019.gcd,6/2/22 20:35,161,Unknown,0,13.706,"5,353",518.985,-----,-----,-----,-----,,1,,2022-05-31 9:45,BVR,,,,
2.87,502,54,BRN02jun22_020.gcd,6/2/22 21:09,151,Unknown,0,6.586,"4,623",2.886,-----,-----,-----,-----,,54,BRN02jun22_020.gcd,6/2/22 21:09,151,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,54,BRN02jun22_020.gcd,6/2/22 21:09,151,Unknown,0,13.694,"5,252",509.73,-----,-----,-----,-----,,1,,2022-05-31 9:52,BVR,,,,
3.77,428,55,BRN02jun22_021.gcd,6/2/22 21:42,137,Unknown,0,6.571,"5,190",3.758,-----,-----,-----,-----,,55,BRN02jun22_021.gcd,6/2/22 21:42,137,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,55,BRN02jun22_021.gcd,6/2/22 21:42,137,Unknown,0,13.66,"4,450",433.965,-----,-----,-----,-----,,1,,2022-05-31 10:06,BVR,,,,
4.38,479,56,BRN02jun22_022.gcd,6/2/22 22:16,159,Unknown,0,6.558,"5,573",4.381,-----,-----,-----,-----,,56,BRN02jun22_022.gcd,6/2/22 22:16,159,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,56,BRN02jun22_022.gcd,6/2/22 22:16,159,Unknown,0,13.714,"4,993",485.769,-----,-----,-----,-----,,1,,2022-05-31 9:55,BVR,,,,
3.2,456,57,BRN02jun22_023.gcd,6/2/22 22:49,138,Unknown,0,6.57,"4,829",3.197,-----,-----,-----,-----,,57,BRN02jun22_023.gcd,6/2/22 22:49,138,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,57,BRN02jun22_023.gcd,6/2/22 22:49,138,Unknown,0,13.69,"4,752",463.058,-----,-----,-----,-----,,1,,2022-05-31 11:38,BVR,,,,
2.75,525,58,BRN02jun22_024.gcd,6/2/22 23:23,177,Unknown,0,6.573,"4,547",2.774,-----,-----,-----,-----,,58,BRN02jun22_024.gcd,6/2/22 23:23,177,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,58,BRN02jun22_024.gcd,6/2/22 23:23,177,Unknown,0,13.69,"5,501",532.294,-----,-----,-----,-----,,1,,2022-05-31 9:54,BVR,,,,
2.17,449,59,BRN02jun22_025.gcd,6/2/22 23:56,73,Unknown,0,6.571,"4,174",2.233,-----,-----,-----,-----,,59,BRN02jun22_025.gcd,6/2/22 23:56,73,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,59,BRN02jun22_025.gcd,6/2/22 23:56,73,Unknown,0,13.703,"4,670",455.256,-----,-----,-----,-----,,1,,2022-05-31 11:29,BVR,,,,
2.34,524,35,BRN09jun22_001.gcd,6/9/22 9:37,air,Unknown,0,6.561,"4,283",2.389,-----,-----,-----,-----,,35,BRN09jun22_001.gcd,6/9/22 9:37,air,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,35,BRN09jun22_001.gcd,6/9/22 9:37,air,Unknown,0,13.675,"5,493",531.641,-----,-----,-----,-----,,1,,,BVR,,,,
2548.23,1327,36,BRN09jun22_002.gcd,6/9/22 10:10,air + 100,Unknown,0,6.485,"2,209,359",0,-----,-----,-----,-----,,36,BRN09jun22_002.gcd,6/9/22 10:10,air + 100,Unknown,0,6.441,"17,811","2,331.07",-----,-----,-----,-----,,36,BRN09jun22_002.gcd,6/9/22 10:10,air + 100,Unknown,0,13.653,"16,920","1,318.75",-----,-----,-----,-----,,1,,,BVR,,,,
8.03,283,37,BRN09jun22_003.gcd,6/9/22 10:44,yellow tank,Unknown,0,6.531,"7,800",8.906,-----,-----,-----,-----,,37,BRN09jun22_003.gcd,6/9/22 10:44,yellow tank,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,37,BRN09jun22_003.gcd,6/9/22 10:44,yellow tank,Unknown,0,13.681,"2,939",276.297,-----,-----,-----,-----,,1,,,BVR,,,,
3.46,495,38,BRN09jun22_004.gcd,6/9/22 11:17,141,Unknown,0,6.567,"4,993",3.45,-----,-----,-----,-----,,38,BRN09jun22_004.gcd,6/9/22 11:17,141,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,38,BRN09jun22_004.gcd,6/9/22 11:17,141,Unknown,0,13.678,"5,173",502.478,-----,-----,-----,-----,,1,,2022-06-07 9:27,BVR,1,2,2,
2.37,463,39,BRN09jun22_005.gcd,6/9/22 11:51,59,Unknown,0,6.557,"4,302",2.416,-----,-----,-----,-----,,39,BRN09jun22_005.gcd,6/9/22 11:51,59,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,39,BRN09jun22_005.gcd,6/9/22 11:51,59,Unknown,0,13.672,"4,825",469.983,-----,-----,-----,-----,,1,Two of these vials they are on different days however neither one has already been analyzed on an earlier date ,2022-06-07 9:15,BVR,1,6,1,
3.61,483,40,BRN09jun22_006.gcd,6/9/22 12:24,15,Unknown,0,6.551,"5,087",3.595,-----,-----,-----,-----,,40,BRN09jun22_006.gcd,6/9/22 12:24,15,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,40,BRN09jun22_006.gcd,6/9/22 12:24,15,Unknown,0,13.672,"5,035",489.726,-----,-----,-----,-----,,1,,2022-06-07 9:29,BVR,1,4,2,
2.6,487,41,BRN09jun22_007.gcd,6/9/22 12:58,194,Unknown,0,6.552,"4,450",2.631,-----,-----,-----,-----,,41,BRN09jun22_007.gcd,6/9/22 12:58,194,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,41,BRN09jun22_007.gcd,6/9/22 12:58,194,Unknown,0,13.669,"5,089",494.729,-----,-----,-----,-----,,1,,2022-06-07 9:26,BVR,1,1,2,
3.17,460,42,BRN09jun22_008.gcd,6/9/22 13:31,112,Unknown,0,6.564,"4,809",3.166,-----,-----,-----,-----,,42,BRN09jun22_008.gcd,6/9/22 13:31,112,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,42,BRN09jun22_008.gcd,6/9/22 13:31,112,Unknown,0,13.666,"4,795",467.162,-----,-----,-----,-----,,1,,2022-06-07 9:22,BVR,1,3,1,
3.06,462,43,BRN09jun22_009.gcd,6/9/22 14:05,135,Unknown,0,6.564,"4,738",3.059,-----,-----,-----,-----,,43,BRN09jun22_009.gcd,6/9/22 14:05,135,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,43,BRN09jun22_009.gcd,6/9/22 14:05,135,Unknown,0,13.676,"4,814",468.914,-----,-----,-----,-----,,1,,,BVR,1,3,2,
2.59,489,44,BRN09jun22_010.gcd,6/9/22 14:38,66,Unknown,0,6.571,"4,439",2.615,-----,-----,-----,-----,,44,BRN09jun22_010.gcd,6/9/22 14:38,66,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,44,BRN09jun22_010.gcd,6/9/22 14:38,66,Unknown,0,13.673,"5,103",495.978,-----,-----,-----,-----,,1,,2022-06-07 10:05,BVR,50,6,2,
3.18,602,45,BRN09jun22_011.gcd,6/9/22 15:12,131,Unknown,0,6.573,"4,814",3.175,-----,-----,-----,-----,,45,BRN09jun22_011.gcd,6/9/22 15:12,131,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,45,BRN09jun22_011.gcd,6/9/22 15:12,131,Unknown,0,13.683,"6,378",608.98,-----,-----,-----,-----,,1,,2022-06-07 9:20,BVR,1,1,1,
3.46,422,46,BRN09jun22_012.gcd,6/9/22 15:45,185,Unknown,0,6.559,"4,994",3.45,-----,-----,-----,-----,,46,BRN09jun22_012.gcd,6/9/22 15:45,185,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,46,BRN09jun22_012.gcd,6/9/22 15:45,185,Unknown,0,13.659,"4,378",426.936,-----,-----,-----,-----,,1,,2022-06-07 10:16,BVR,50,4,1,
3.67,458,47,BRN09jun22_013.gcd,6/9/22 16:19,192,Unknown,0,6.571,"5,125",3.656,-----,-----,-----,-----,,47,BRN09jun22_013.gcd,6/9/22 16:19,192,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,47,BRN09jun22_013.gcd,6/9/22 16:19,192,Unknown,0,13.69,"4,765",464.266,-----,-----,-----,-----,,1,Two of these vials they are on different days however neither one has already been analyzed on an earlier date ,,BVR,,,,
3.06,514,48,BRN09jun22_014.gcd,6/9/22 16:52,165,Unknown,0,6.572,"4,742",3.065,-----,-----,-----,-----,,48,BRN09jun22_014.gcd,6/9/22 16:52,165,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,48,BRN09jun22_014.gcd,6/9/22 16:52,165,Unknown,0,13.677,"5,386",521.918,-----,-----,-----,-----,,1,,2022-06-07 10:13,BVR,50,1,1,
2.54,460,49,BRN09jun22_015.gcd,6/9/22 17:26,140,Unknown,0,6.568,"4,412",2.576,-----,-----,-----,-----,,49,BRN09jun22_015.gcd,6/9/22 17:26,140,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,49,BRN09jun22_015.gcd,6/9/22 17:26,140,Unknown,0,13.683,"4,794",467.086,-----,-----,-----,-----,,1,,2022-06-07 10:18,BVR,50,6,1,
